Language_ID	Flag	Planar_Type	Analysis_Type	Abstract_Type	Domain_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Test_Labels	PW_Pattern	Notes
kaya1330	misinterpretation	verbal	constituency	Recursion.based	Indeterminate	NA	Minimal	Coordination	10	15		indeterminate	Flagged: not clear if this test was applied correctly
iyoj1235	NA	verbal	constituency	Recursion.based	Indeterminate	NA	Minimal	NA	8	38		indeterminate	NA
chac1251	NA	verbal	constituency	Recursion.based	Indeterminate	Nominalization	Minimal	Agentive.nominalization	7	24		indeterminate	NA
chac1251	NA	verbal	constituency	Recursion.based	Indeterminate	Nominalization	Minimal	Instrumental.nominalization	6	24		indeterminate	NA
chac1251	NA	verbal	constituency	Recursion.based	Indeterminate	Reduplication	Minimal	NA	7	10		indeterminate	NA
dura0000	NA	nominal	constituency	Recursion.based	Indeterminate	NA	Minimal	coordination	8	8		indeterminate	NA
dura0000	NA	nominal	constituency	Recursion.based	Indeterminate	Possession	Minimal	NA	8	8		indeterminate	NA
chac1251	NA	verbal	constituency	Recursion.based	Indeterminate	Syndetic	Minimal	Different.subject	7	22		indeterminate	NA
chac1251	NA	verbal	constituency	Recursion.based	Indeterminate	Syndetic	Minimal	Same.subject	7	11		indeterminate	NA
chac1251	Need to check	nominal	constituency	Recursion.based	Indeterminate	Possession	Minimal	Genitive	4	4		indeterminate	NA
chac1251	NA	nominal	constituency	Recursion.based	Indeterminate	NA	Minimal	tihi conjunction	3	6		indeterminate	NA
arao1248	NA	verbal	constituency	Segmental	Phonological	Vowel insertion	NA	e.insert	4	15	E-Insertion	insertion	NA
teot1238	NA	verbal	constituency	Segmental	Phonological	Consonant insertion	NA	final glottalization	1	28	Final Glottal.	insertion	NA
moco1246	NA	verbal	constituency	Segmental	Phonological	Vowel assimilation	Maximal	vocalic epenthesis	6	15	V-Epenthesis Max.	insertion	NA
moco1246	NA	verbal	constituency	Segmental	Phonological	Vowel insertion	Minimal	vocalic epenthesis	6	7	V-Epenthesis Min.	insertion	NA
yucu1253	NA	verbal	constituency	Segmental	Phonological	Vowel insertion	NA	vowel insertion	10	16	V-Insert.	insertion	NA
iyoj1235	NA	verbal	constituency	Segmental	Phonological	Consonant insertion	Maximal	insertion of /y/	16	44		insertion	NA
iyoj1235	NA	verbal	constituency	Segmental	Phonological	Consonant insertion	Minimal	insertion of /y/	16	32		insertion	NA
iyoj1235	newdomain	verbal	constituency	Segmental	Phonological	Consonant insertion	Minimal	insertion of /y/, fractured according to analysis “maximal”	16	34		insertion	Looks like overfracturing to  me
siks1238	preliminary	verbal	constituency	Segmental	Phonological	Consonant insertion	Maximal	glottal.insertion.vowel.coalescence.construction 1	1	13		insertion	NA
siks1238	preliminary	verbal	constituency	Segmental	Phonological	Consonant insertion	Minimal	glottal.insertion.vowel.coalescence.construction 1	1	11		insertion	NA
chac1251	NA	verbal	constituency	Segmental	Phonological	Consonant insertion	Maximal	glottal.insertion	6	28		insertion	NA
